Date,knumber,Name,Manufactuer,Specialty,Product_Code,artificial_intelligence1,machine_learning1,neural_network1,neural_networks1,deep_learning1,reinforcement_learning1,natural_language_processing1,decision_tree1,xgboost1,gradient_boosted1,gradient_boosting1,ensemble1,big_data1,AI1,ML1,DL1,DNN1,CNN1,RNN1,NLP1,phantom1,specificity1,sensitivity1,risk_assessment1,time_to_open1,time_to_notification1,human_factor1,ease_of_use1,ease_of_training1,standards1,industry_standards1,risk_management1,risk1,retrospective1,prospective1,summary1,FDA,STUDY,CLINICAL_TRIALS,STUDY_SIZE,Site,STATE,COUNTRY_CODE,CT,multisite,Performance,Jiang,REVIEW_PANEL,MEDICALSPECIALTY,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting,summary,key_index,year,study1,path
08/21/2013,DEN130013,Vitek MS,"Biomerieux, Inc.",Other,PEX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,2256,3,MO,US,0,1,1,0,MI,MI,"System, Mass Spectrometry, Maldi Tof, Microorganism Identification, Cultured Isolates",2,,N,N,,866.3361,1,A mass spectrometer system using matrix-assisted laser desorption/ ionization - time of flight (MALDI-TOF) for the identification of microorganisms cultured from human specimens.,In vitro diagnostic device,Matrix-assisted laser desorption/ionization - time of flight (MALDI-TOF) mass spectrometry,Identification of microorganisms cultured from human specimens,N,N,Ineligible,1,1,2013,1,DEN
02/10/2004,K033840,CellaVision DM96 Automatic Hematology Analyzer,Cella Vision AB,Other,JOY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,MN,US,0,0,1,0,HE,HE,"Device, Automated Cell-Locating",2,,N,Y,,864.526,1,,,,,N,N,Eligible,1,1,2004,0,510K
12/05/2008,K080595,CellaVision DM96 with the body fluid application,Cella Vision AB,Other,JOY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,MN,US,0,0,1,0,HE,HE,"Device, Automated Cell-Locating",2,,N,Y,,864.526,1,,,,,N,N,Eligible,1,1,2008,0,510K
05/12/2010,K092116,EasyCell,Medica Corporation,Other,JOY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,MA,US,0,0,1,0,HE,HE,"Device, Automated Cell-Locating",2,,N,Y,,864.526,1,,,,,N,N,Eligible,1,1,2010,0,510K
09/16/2011,K102778,CellaVision® DM1200 with the body fluid application,CellaVision AB,Other,JOY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,2,MN,US,0,1,1,0,HE,HE,"Device, Automated Cell-Locating",2,,N,Y,,864.526,1,,,,,N,N,Eligible,1,1,2011,0,510K
05/17/2012,K120489,Tissue of Origin Test Kit FFPE,"Pathwork Diagnostics, Inc.",Other,OIW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,CA,US,0,0,1,0,TX,TX,"Software, Similarity Score Algorithm, Tissue Of Origin For Malignant Tumor Types",2,,N,Y,,862.31,1,This test is intended to measure the degree of similarity between the RNA expression pattern in a patient?s fresh-frozen tumor and the RNA expression patterns in a database of tumor samples for some common malignant tumor types that were diagnosed according to then current clinical and pathological practice. The test result is intended for use in the context of the patient?s clinical history and other diagnostic tests evaluated by a qualified clinician.  The test is not intended to establish the origin of tumors (e.g. carcinoma of unknown primary) that cannot be diagnosed according to current clinical and pathological practice.,"Gene expression systems, which include either microarray systems or reverse-transcriptase polymerase chain reaction (RT-PCR) systems.  Steps for microarray systems include RNA isolation kits, cDNA synthesis kits, in vitro transcription kits, hybridization, washing and staining systems, scanner, and computer","Uses Gene expression and computer algorithm that estimate degree of similarity between analyzed specimen and examples of various tumor types comprising a database.  Gene expression involves isolation of RNA from frozen tumor tissue sections, amplification of RNA and hybridization, and comparison of hybridization patterns.",Fresh frozen tumor tissue sections,N,N,Eligible,1,1,2012,0,510K
11/21/2013,K130831,MALDI Biotyper CA (MBT-CA) System,"Bruker Daltonics, Inc.",Other,PEX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,MA,US,0,0,1,0,MI,MI,"System, Mass Spectrometry, Maldi Tof, Microorganism Identification, Cultured Isolates",2,,N,N,,866.3361,1,A mass spectrometer system using matrix-assisted laser desorption/ ionization - time of flight (MALDI-TOF) for the identification of microorganisms cultured from human specimens.,In vitro diagnostic device,Matrix-assisted laser desorption/ionization - time of flight (MALDI-TOF) mass spectrometry,Identification of microorganisms cultured from human specimens,N,N,Ineligible,1,1,2013,0,510K
01/24/2014,K133259,Ysio Max,"Siemens Medical Solutions USA, Inc.",Radiology,KPR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,,,,PA,US,0,0,1,0,RA,RA,"System, X-Ray, Stationary",2,,N,Y,,892.168,1,,,,,N,N,Eligible,1,1,2014,0,510K
10/09/2020,K193631,"Stethee Pro 1, Stethee Pro Software System",M3DICINE Pty Ltd.,Cardiovascular,DQD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,,,WI,US,0,0,1,0,CV,CV,"Stethoscope, Electronic",2,,N,Y,,870.1875,1,,,,,N,N,Eligible,1,1,2020,0,510K
04/02/2021,K202441,Eclipse II with Smart Noise Cancellation,"Carestream Health, Inc.",Radiology,MQB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,,,NY,US,0,0,1,0,RA,RA,Solid State X-Ray Imager (Flat Panel/Digital Imager),2,,N,Y,,892.168,1,,,,,N,N,Eligible,1,2,2021,1,510K
06/16/2021,K202718,Qmenta Care Platform Family,"Mint Labs, Inc., D/B/A. QMENTA",Radiology,LLZ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,,,,MA,US,0,0,1,0,RA,RA,"System, Image Processing, Radiological",2,,N,Y,,892.205,1,,,,,N,N,Eligible,1,1,2021,0,510K
03/24/2021,K203225,Aquilion ONE (TSX306A/3) V10.4 with Spectral Imaging System,Canon Medical Systems Corporation,Radiology,JAK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,,,,,JP,0,0,1,0,RA,RA,"System, X-Ray, Tomography, Computed",2,,N,Y,,892.175,1,,,,,N,N,Eligible,1,1,2021,0,510K
03/19/2021,K203235,VBrain,Vysioneer Inc.,Radiology,QKB,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,,116,4,MA,US,0,1,1,0,RA,RA,Radiological Image Processing Software For Radiation Therapy,2,,N,N,,892.205,1,"To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.","Software application and/or firmware, system components and accessories","Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images typically impact device performance. Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.",Human-derived imaging products,N,N,Ineligible,1,3,2021,1,510K
03/31/2021,K203258,syngo.CT Lung CAD (Version VD20),Siemens Healthcare GmbH,Radiology,OEB,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,,232,,,DE,0,0,1,0,RA,RA,"Lung Computed Tomography System, Computer-Aided Detection",2,,N,N,,892.205,1,"To assist radiologists in the review of multi-slice computed tomography (msct) exams of the chest and highlight potential nodules that the radiologist should review.  A computer aided diagnosis, lung computed tomography system is a class 3 device under product code NRR.",Software device.,Detection algorithm searches for and identifies potential nodules on images of the chest acquired using multi-slice computed tomography (msct).,Lung,N,N,Eligible,1,2,2021,1,510K
04/23/2021,K203314,Cartesion Prime (PCD-1000A/3) V10.8,Canon Medical Systems Corporation,Radiology,KPS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,,,,,JP,0,0,1,0,RA,RA,"System, Tomography, Computed, Emission",2,,N,Y,,892.12,1,,,,,N,N,Eligible,1,2,2021,0,510K
04/19/2021,K203469,AI Segmentation,Varian Medical Systems,Radiology,MUJ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,,,,CA,US,0,0,1,0,RA,RA,"System, Planning, Radiation Therapy Treatment",2,,N,N,,892.505,1,,,,,N,N,Eligible,1,1,2021,0,510K
04/23/2021,K203502,MEDO-Thyroid,MEDO DX Pte. Ltd.,Radiology,QIH,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,,,,CA,0,0,1,0,RA,RA,Automated Radiological Image Processing Software,2,,N,N,,892.205,1,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.","Software application and/or firmware, system components and accessories","Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.",Human-derived imaging products,N,N,Ineligible,1,1,2021,0,510K
