,Date,Name,Specialty,path,height
6,11/15/2013,MALDI Biotyper CA (MBT-CA) System,Other,510K,0.0
1,02/15/2004,CellaVision DM96 Automatic Hematology Analyzer,Other,510K,0.0
28,8/15/2017,QuantX,Radiology,DEN,0.0
50,8/15/2017,BladderScan Prime PLUS System,Radiology,510K,1.0
48,8/15/2017,Advanced RBC Application,Other,510K,2.0
83,02/15/2019,SIS Software version 3.3.0,Radiology,510K,0.0
88,02/15/2019,SIGNA Premier,Radiology,510K,1.0
91,02/15/2019,AI Rad Companion (Engine),Radiology,510K,2.0
93,02/15/2019,cmTriage,Radiology,510K,3.0
63,02/15/2019,Loop System,Cardiovascular,510K,4.0
67,02/15/2019,KardiaAI,Cardiovascular,510K,5.0
76,02/15/2019,RhythmAnalytics,Cardiovascular,510K,6.0
78,02/15/2019,Study Watch,Cardiovascular,510K,7.0
52,11/15/2017,Radiomics App v1.0,Radiology,510K,0.0
43,11/15/2017,"Rooti Rx ECG Event Recorder, Rooti Link APP Software",Cardiovascular,510K,1.0
49,11/15/2017,BioFlux Device,Cardiovascular,510K,2.0
39,5/15/2017,AmCAD-US,Radiology,510K,0.0
45,5/15/2017,Carestream Vue PACS,Radiology,510K,1.0
46,5/15/2017,syngo Application Software,Radiology,510K,2.0
161,8/15/2020,Vivid E80/ Vivid E90/ Vivid E95,Radiology,510K,0.0
130,8/15/2020,Deep Recon,Radiology,510K,1.0
132,8/15/2020,"Vantage Orian 1.5T, MRT-1550, V6.0 with AiCE Reconstruction Processing Unit for MR",Radiology,510K,2.0
135,8/15/2020,HYPER DLR,Radiology,510K,3.0
138,8/15/2020,Contour ProtegeAI,Radiology,510K,4.0
142,8/15/2020,AI-Rad Companion Prostate MR,Radiology,510K,5.0
148,8/15/2020,FractureDetect (FX),Radiology,510K,6.0
154,8/15/2020,RayStation,Radiology,510K,7.0
156,8/15/2020,Caption Interpretation Automated Ejection Fraction Software,Radiology,510K,8.0
158,8/15/2020,Vivid iq,Radiology,510K,9.0
159,8/15/2020,AVIEW,Radiology,510K,10.0
184,8/15/2020,TOMTEC-ARENA,Radiology,510K,11.0
187,8/15/2020,Caption Guidance,Radiology,510K,12.0
167,8/15/2020,HealthMammo,Radiology,510K,13.0
169,8/15/2020,Rapid LVO,Radiology,510K,14.0
171,8/15/2020,VIDAvision,Radiology,510K,15.0
173,8/15/2020,BriefCase,Radiology,510K,16.0
175,8/15/2020,Xeleris V Processing and Review Systems,Radiology,510K,17.0
176,8/15/2020,Limbus Contour,Radiology,510K,18.0
179,8/15/2020,Accipiolx,Radiology,510K,19.0
180,8/15/2020,AVA (Augmented Vascular Analysis),Radiology,510K,20.0
182,8/15/2020,Syngo.via RT Image Suite,Radiology,510K,21.0
164,8/15/2020,"Vivid T8, Vivid T9",Radiology,510K,22.0
177,8/15/2020,VX1,Cardiovascular,510K,23.0
157,8/15/2020,EyeArt,Other,510K,24.0
125,8/15/2020,"Accelerate Pheno System, Accelerate PhenoTest BC Kit",Other,510K,25.0
204,11/15/2020,BriefCase,Radiology,510K,0.0
199,11/15/2020,Aquilion Exceed LB (TSX-202A/3) V10.6 with AiCE-I,Radiology,510K,1.0
195,11/15/2020,HealthJOINT,Radiology,510K,2.0
191,11/15/2020,Cleerly Labs v2.0,Radiology,510K,3.0
143,11/15/2020,"FastStroke, CT Perfusion 4D",Radiology,510K,4.0
188,11/15/2020,WRDensity by Whiterabbit.ai,Radiology,510K,5.0
185,11/15/2020,Deep Learning Image Reconstruction for Gemstone Spectral Imaging,Radiology,510K,6.0
183,11/15/2020,EchoGo Pro,Radiology,510K,7.0
201,11/15/2020,Revolution Ascend,Radiology,510K,8.0
174,11/15/2020,HepaFat-AI,Radiology,510K,9.0
172,11/15/2020,Genius AI Detection,Radiology,510K,10.0
166,11/15/2020,HALO,Radiology,510K,11.0
146,11/15/2020,PROView,Radiology,510K,12.0
153,11/15/2020,AutoContour,Radiology,510K,13.0
149,11/15/2020,AI-Rad Companion Organs RT,Radiology,510K,14.0
8,11/15/2020,"Stethee Pro 1, Stethee Pro Software System",Cardiovascular,510K,15.0
189,11/15/2020,"LensHooke X1 PRO Semen Quality Analyzer, LensHooke X1 PRO SE Semen Quality Analyzer",Other,510K,16.0
155,11/15/2020,"CellaVision DC-1, CellaVision DC-1 PPA",Other,510K,17.0
178,11/15/2020,X100 with Full Field Peripheral Blood Smear (PBS) Application,Other,510K,18.0
0,8/15/2013,Vitek MS,Other,DEN,0.0
32,5/15/2018,OsteoDetect,Radiology,DEN,0.0
51,5/15/2018,HealthCCS,Radiology,510K,1.0
55,5/15/2018,EchoMD Automated Ejection Fraction Software,Radiology,510K,2.0
56,5/15/2018,LungQ Software,Radiology,510K,3.0
60,5/15/2018,NeuralBot,Radiology,510K,4.0
29,5/15/2018,DreaMed Advisor Pro,Other,DEN,5.0
31,5/15/2018,IDx-DR,Other,DEN,6.0
11,02/15/2021,Aquilion�ONE�(TSX306A/3)�V10.4�with�Spectral�Imaging�System,Radiology,510K,0.0
12,02/15/2021,VBrain,Radiology,510K,1.0
13,02/15/2021,syngo.CT Lung CAD (Version VD20),Radiology,510K,2.0
22,02/15/2021,SIS System (Version 5.1.0),Radiology,510K,3.0
23,02/15/2021,Viz ICH,Radiology,510K,4.0
140,02/15/2021,uAI EasyTriage-Rib,Radiology,510K,5.0
181,02/15/2021,Visage Breast Density,Radiology,510K,6.0
186,02/15/2021,Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i,Radiology,510K,7.0
190,02/15/2021,TruPlan,Radiology,510K,8.0
206,02/15/2021,LVivo Software Application,Radiology,510K,9.0
192,02/15/2021,Oncospace,Radiology,510K,10.0
194,02/15/2021,BrainInsight,Radiology,510K,11.0
196,02/15/2021,ART-Plan,Radiology,510K,12.0
197,02/15/2021,"Vantage Orian 1.5T, MRT-1550, V6.0",Radiology,510K,13.0
198,02/15/2021,NinesMeasure,Radiology,510K,14.0
200,02/15/2021,"Synapse 3D, Synapse 3D Base Tools v6.1",Radiology,510K,15.0
202,02/15/2021,Imbio RV/LV Software,Radiology,510K,16.0
203,02/15/2021,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Radiology,510K,17.0
205,02/15/2021,MaxFOV 2,Radiology,510K,18.0
193,02/15/2021,"Optellum Virtual Nodule Clinic, Optellum software, Optellum platform",Radiology,510K,19.0
160,02/15/2021,CLEWICU System (ClewICUServer and ClewICUnitor),Cardiovascular,510K,20.0
208,02/15/2021,Imagio Breast Imaging System,Other,PMA,21.0
36,11/15/2012,CLEARREAD +CONFIRM,Radiology,510K,0.0
27,11/15/2014,BrainScope Ahead 100,Other,DEN,0.0
62,11/15/2018,Vitrea CT Brain Perfusion,Radiology,510K,0.0
65,11/15/2018,Transpara,Radiology,510K,1.0
69,11/15/2018,icobrain,Radiology,510K,2.0
71,11/15/2018,Arterys MICA,Radiology,510K,3.0
72,11/15/2018,iSchemaView RAPID,Radiology,510K,4.0
73,11/15/2018,Accipiolx,Radiology,510K,5.0
74,11/15/2018,FerriSmart Analysis System,Radiology,510K,6.0
75,11/15/2018,SubtlePET,Radiology,510K,7.0
77,11/15/2018,PowerLook Tomo Detection V2 Software,Radiology,510K,8.0
79,11/15/2018,Quantib ND,Radiology,510K,9.0
80,11/15/2018,"NvisionVLE Imaging System, NvisionVLE Optical Probe, NvisionVLE Inflation System",Radiology,510K,10.0
59,11/15/2018,AI-ECG Platform,Cardiovascular,510K,11.0
54,11/15/2018,reSET-O,Other,510K,12.0
58,11/15/2018,"LensHooke X1 Pro Semen Quality Analyzer, LensHooke X1 Semen Quality Analyzer",Other,510K,13.0
68,11/15/2018,Embrace,Other,510K,14.0
41,02/15/2017,SIS Software,Radiology,510K,0.0
42,02/15/2017,Arterys Cardio DL,Radiology,510K,1.0
40,02/15/2017,EnsoSleep,Other,510K,2.0
207,11/15/2016,QVCAD System,Radiology,PMA,0.0
81,8/15/2019,DeepCT,Radiology,510K,0.0
82,8/15/2019,Aquilion Precision (TSX-304A/1 and /2) V8.8 with AiCE,Radiology,510K,1.0
85,8/15/2019,Critical Care Suite,Radiology,510K,2.0
89,8/15/2019,AI-Rad Companion (Cardiovascular),Radiology,510K,3.0
90,8/15/2019,AI-Rad Companion (Pulmonary),Radiology,510K,4.0
96,8/15/2019,D2P,Radiology,510K,5.0
101,8/15/2019,Koios DS for Breast,Radiology,510K,6.0
109,8/15/2019,RayCare 2.3,Radiology,510K,7.0
112,8/15/2019,SubtleMR,Radiology,510K,8.0
117,8/15/2019,Syngo.Via RT Image Suite,Radiology,510K,9.0
121,8/15/2019,SIS Software Version 3.6.0,Radiology,510K,10.0
92,8/15/2019,Biovitals Analytics Engine,Cardiovascular,510K,11.0
94,8/15/2019,physIQ Heart Rhythm and Respiratory Module,Cardiovascular,510K,12.0
107,8/15/2019,"Wearable Device, Wearable Package",Cardiovascular,510K,13.0
102,8/15/2019,BrainScope TBI,Other,510K,14.0
103,11/15/2019,Cleerly Labs,Radiology,510K,0.0
105,11/15/2019,EchoGo Core,Radiology,510K,1.0
108,11/15/2019,RSI-MRI+,Radiology,510K,2.0
111,11/15/2019,QLAB Advanced Quantification Software,Radiology,510K,3.0
113,11/15/2019,CS-series-FP Radiographic / Fluoroscopic Systems with Optional CA-100S / FluoroShield� (ROI Assembly),Radiology,510K,4.0
115,11/15/2019,ProFound AI Software V2.1,Radiology,510K,5.0
118,11/15/2019,KOALA,Radiology,510K,6.0
120,11/15/2019,Transpara,Radiology,510K,7.0
122,11/15/2019,HealthCXR,Radiology,510K,8.0
123,11/15/2019,BriefCase,Radiology,510K,9.0
134,11/15/2019,Deep Learning Image Reconstruction,Radiology,510K,10.0
5,5/15/2012,Tissue of Origin Test Kit FFPE,Other,510K,0.0
119,5/15/2020,CuraRad-ICH,Radiology,510K,0.0
129,5/15/2020,HealthVCF,Radiology,510K,1.0
144,5/15/2020,BriefCase,Radiology,510K,2.0
145,5/15/2020,AIMI-Triage CXR PTX,Radiology,510K,3.0
147,5/15/2020,NinesAI,Radiology,510K,4.0
152,5/15/2020,LVivo Software Application,Radiology,510K,5.0
162,5/15/2020,Caption Guidance,Radiology,510K,6.0
163,5/15/2020,Rapid ASPECTS,Radiology,510K,7.0
165,5/15/2020,CINA,Radiology,510K,8.0
168,5/15/2020,qER,Radiology,510K,9.0
170,5/15/2020,Auto 3D Bladder Volume Tool,Radiology,510K,10.0
9,5/15/2021,Eclipse II with Smart Noise Cancellation,Radiology,510K,0.0
10,5/15/2021,Qmenta Care Platform Family,Radiology,510K,1.0
14,5/15/2021,Cartesion Prime (PCD-1000A/3) V10.8,Radiology,510K,2.0
15,5/15/2021,AI Segmentation,Radiology,510K,3.0
16,5/15/2021,MEDO-Thyroid,Radiology,510K,4.0
17,5/15/2021,Precise Position,Radiology,510K,5.0
18,5/15/2021,Saige-Q,Radiology,510K,6.0
19,5/15/2021,Automatic Anatomy Recognition (AAR),Radiology,510K,7.0
21,5/15/2021,HYPER AiR,Radiology,510K,8.0
24,5/15/2021,CINA CHEST,Radiology,510K,9.0
26,5/15/2021,Preview Shoulder,Radiology,510K,10.0
25,5/15/2021,"LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System",Cardiovascular,510K,11.0
20,5/15/2021,IDx-DR,Other,510K,12.0
37,02/15/2016,QbCheck,Other,510K,0.0
4,8/15/2011,CellaVision� DM1200 with the body fluid application,Other,510K,0.0
3,5/15/2010,EasyCell,Other,510K,0.0
35,02/15/2020,Caption Guidance,Radiology,DEN,0.0
110,02/15/2020,Red Dot,Radiology,510K,1.0
114,02/15/2020,AccuContour,Radiology,510K,2.0
124,02/15/2020,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Radiology,510K,3.0
126,02/15/2020,Aquilion ONE (TSX-306A/3) V10.0 with Spectral Imaging System,Radiology,510K,4.0
127,02/15/2020,Aquilion Prime SP (TSX-303B8) V10.2 with AiCE-i,Radiology,510K,5.0
